max_depth,learning_rate,n_estimators,log_loss,auc,accuracy,bucket_1_5_games,bucket_1_5_log_loss,bucket_1_5_accuracy,bucket_6_10_games,bucket_6_10_log_loss,bucket_6_10_accuracy,bucket_11_20_games,bucket_11_20_log_loss,bucket_11_20_accuracy,bucket_21plus_games,bucket_21plus_log_loss,bucket_21plus_accuracy
4,0.025,563,0.5298748838378584,0.806323414978316,0.7221061013237783,1374,0.4360994787009836,0.777292576419214,1487,0.5336607260700493,0.7162071284465367,3047,0.5257955711388089,0.731211027239908,4139,0.5626479026957473,0.699202705967625
4,0.03,361,0.5300425522570138,0.8063964505126595,0.723499552105106,1374,0.43735191652966243,0.7787481804949054,1487,0.5338422150309868,0.7162071284465367,3047,0.5254036924887131,0.7318674105677716,4139,0.5628624219498131,0.7016187484899734
4,0.035,351,0.5300674543539876,0.8062606432548216,0.7227032945157759,1374,0.43577210069703687,0.7802037845705968,1487,0.5335614562908825,0.7121721587088097,3047,0.5260224127079183,0.7328519855595668,4139,0.5630926964269669,0.6999275187243296
4,0.04,283,0.5301453550610844,0.8062415620775094,0.7216084403304469,1374,0.4367404119268976,0.7787481804949054,1487,0.5332626465033051,0.714862138533961,3047,0.5266521032871677,0.7315392189038399,4139,0.5626041416392229,0.697753080454216
4,0.015,824,0.5301602855565654,0.8061743519493236,0.7208121827411168,1374,0.4366924547951173,0.7743813682678311,1487,0.5334295538397673,0.7128446536650975,3047,0.526378328537131,0.7298982605841812,4139,0.5627978841473663,0.699202705967625
4,0.02,614,0.5302110852241291,0.8059751983530984,0.722404697919777,1374,0.4362258027837115,0.7758369723435226,1487,0.5337306780164053,0.7168796234028245,3047,0.5264516922358123,0.7302264522481129,4139,0.5629139153827231,0.7008939357332689
4,0.01,1121,0.5302711750178476,0.8060434190109237,0.7214093759331144,1374,0.43644377542466106,0.7802037845705968,1487,0.5339939049066436,0.7155346334902488,3047,0.5264202970786485,0.7302264522481129,4139,0.5629159618690528,0.6975114762019812
4,0.05,221,0.5303260718149475,0.806040664822298,0.7215089081317806,1374,0.43730762013458946,0.7780203784570596,1487,0.5331117420733944,0.7121721587088097,3047,0.5265393330106936,0.7295700689202494,4139,0.5629917529145038,0.7001691229765644
3,0.05,362,0.530594347436569,0.8057844063942827,0.7216084403304469,1374,0.43997723494891006,0.7758369723435226,1487,0.5348216420203195,0.7121721587088097,3047,0.5255527561250765,0.7308828355759763,4139,0.5628687263295683,0.7001691229765644
3,0.035,464,0.5306612364767543,0.8057974045794508,0.7211107793371155,1374,0.4394040290963036,0.7787481804949054,1487,0.5346992450680262,0.7101546738399462,3047,0.5259832939440462,0.7308828355759763,4139,0.5629484012659981,0.6987194974631553
